annual_income,emp_length,loan_dollar_amount,monthly_term,purpose,home_ownership,debt_to_income_ratio,monthly_installment,int_rate,total_accounts,total_payment,loan_status,grade,sub_grade
31000,10+ years,8000,36,car,mortgage,0.0934,241.28,0.0542,17,8686,Fully Paid,A,A1
33600,10+ years,3000,36,car,mortgage,0.0323,90.48,0.0542,15,3014,Fully Paid,A,A1
79200,10+ years,5000,36,car,mortgage,0.0228,150.8,0.0542,28,5429,Fully Paid,A,A1
63996,10+ years,3200,36,car,mortgage,0.0181,96.52,0.0542,26,3468,Fully Paid,A,A1
72000,10+ years,7400,36,car,mortgage,0.0372,223.19,0.0542,23,7556,Fully Paid,A,A1
36000,10+ years,9000,36,car,mortgage,0.0905,271.44,0.0542,47,9772,Fully Paid,A,A1
48000,10+ years,5650,36,car,mortgage,0.0426,170.41,0.0542,32,6067,Fully Paid,A,A1
85000,2 years,5600,36,car,mortgage,0.0238,168.9,0.0542,36,6080,Fully Paid,A,A1
24000,4 years,1300,36,car,mortgage,0.0196,39.21,0.0542,46,1411,Fully Paid,A,A1
49000,5 years,3500,36,car,mortgage,0.0259,105.56,0.0542,16,3800,Fully Paid,A,A1
42000,5 years,6000,36,car,mortgage,0.0517,180.96,0.0542,31,6515,Fully Paid,A,A1
57600,6 years,4000,36,car,mortgage,0.0251,120.64,0.0542,24,4343,Fully Paid,A,A1
65000,7 years,6000,36,car,mortgage,0.0334,180.96,0.0542,33,6515,Fully Paid,A,A1
110000,8 years,7800,36,car,mortgage,0.0257,235.25,0.0542,27,8388,Fully Paid,A,A1
48000,8 years,4500,36,car,mortgage,0.0339,135.72,0.0542,28,4680,Fully Paid,A,A1
60000,9 years,3600,36,car,mortgage,0.0217,108.58,0.0542,41,3909,Fully Paid,A,A1
65000,< 1 year,4000,36,car,mortgage,0.0223,120.64,0.0542,20,4343,Fully Paid,A,A1
60000,5 years,5000,36,car,mortgage,0.0302,150.8,0.0542,34,5429,Fully Paid,A,A1
85000,10+ years,6000,36,car,mortgage,0.0255,180.96,0.0542,22,6515,Fully Paid,A,A1
105000,2 years,5000,36,car,mortgage,0.0172,150.8,0.0542,20,5429,Fully Paid,A,A1
60000,5 years,2000,36,car,mortgage,0.0121,60.32,0.0542,29,2171,Fully Paid,A,A1
70000,6 years,6000,36,car,mortgage,0.0310,180.96,0.0542,45,6515,Fully Paid,A,A1
68000,7 years,3000,36,car,mortgage,0.0160,90.48,0.0542,25,3257,Fully Paid,A,A1
90000,3 years,3000,36,car,mortgage,0.0121,90.48,0.0542,30,3099,Fully Paid,A,A1
48000,10+ years,2500,36,car,own,0.0189,75.4,0.0542,17,2512,Fully Paid,A,A1
33600,5 years,5400,36,car,own,0.0582,162.87,0.0542,15,5856,Fully Paid,A,A1
70000,2 years,4500,36,car,rent,0.0233,135.72,0.0542,21,4795,Fully Paid,A,A1
35000,3 years,4800,36,car,rent,0.0496,144.77,0.0542,15,4966,Fully Paid,A,A1
68500,4 years,2000,36,car,rent,0.0106,60.32,0.0542,14,2099,Fully Paid,A,A1
36000,4 years,11200,36,car,rent,0.1126,337.8,0.0542,24,11527,Fully Paid,A,A1
36000,5 years,3075,36,car,rent,0.0309,92.75,0.0542,27,3339,Fully Paid,A,A1
60000,6 years,5000,36,car,rent,0.0302,150.8,0.0542,19,5216,Fully Paid,A,A1
39336,6 years,3500,36,car,rent,0.0322,105.56,0.0542,10,3786,Fully Paid,A,A1
44000,9 years,6200,36,car,rent,0.0510,187,0.0542,31,6732,Fully Paid,A,A1
165996,1 year,6000,36,car,rent,0.0131,180.96,0.0542,28,6515,Fully Paid,A,A1
46000,1 year,3000,36,car,mortgage,0.0236,90.48,0.0542,34,3014,Fully Paid,A,A1
126000,10+ years,9500,36,car,mortgage,0.0273,286.52,0.0542,16,10315,Fully Paid,A,A1
22000,10+ years,8000,36,car,mortgage,0.1316,241.28,0.0542,11,8686,Fully Paid,A,A1
69900,10+ years,5050,36,car,mortgage,0.0261,152.31,0.0542,26,5429,Fully Paid,A,A1
98400,10+ years,1500,36,car,mortgage,0.0055,45.24,0.0542,27,1629,Fully Paid,A,A1
62000,7 years,12000,36,car,mortgage,0.0700,361.92,0.0542,20,12350,Fully Paid,A,A1
172000,7 years,12000,36,car,mortgage,0.0253,361.92,0.0542,34,12786,Fully Paid,A,A1
48000,8 years,5200,36,car,mortgage,0.0392,156.84,0.0542,22,5367,Fully Paid,A,A1
54000,8 years,3000,36,car,mortgage,0.0201,90.48,0.0542,19,3027,Fully Paid,A,A1
240000,10+ years,5500,36,car,mortgage,0.0083,165.88,0.0542,38,5596,Fully Paid,A,A1
54000,6 years,4800,36,car,mortgage,0.0322,144.77,0.0542,32,5136,Fully Paid,A,A1
91992,< 1 year,3350,36,car,mortgage,0.0132,101.04,0.0542,37,3613,Fully Paid,A,A1
42000,< 1 year,6000,36,car,own,0.0517,180.96,0.0542,9,6158,Fully Paid,A,A1
37440,2 years,3000,36,car,rent,0.0290,90.48,0.0542,12,3240,Fully Paid,A,A1
60000,8 years,5000,36,car,rent,0.0302,150.8,0.0542,43,5290,Fully Paid,A,A1
105000,10+ years,11000,36,car,mortgage,0.0379,331.76,0.0542,22,11668,Fully Paid,A,A1
61200,10+ years,5200,36,car,mortgage,0.0308,156.84,0.0542,25,5441,Fully Paid,A,A1
49200,4 years,2500,36,car,mortgage,0.0184,75.4,0.0542,17,2711,Fully Paid,A,A1
130000,5 years,3000,36,car,mortgage,0.0084,90.48,0.0542,36,3088,Fully Paid,A,A1
16000,2 years,7275,36,car,mortgage,0.1646,219.42,0.0542,26,7899,Fully Paid,A,A1
200000,2 years,6000,36,car,mortgage,0.0109,180.96,0.0542,34,6515,Fully Paid,A,A1
84000,< 1 year,12000,36,car,mortgage,0.0383,268.43,0.0542,23,9664,Fully Paid,A,A1
26940,1 year,2500,36,car,rent,0.0336,75.4,0.0542,13,2714,Fully Paid,A,A1
83000,10+ years,3500,36,car,mortgage,0.0154,106.53,0.0603,28,3835,Fully Paid,A,A1
64320,10+ years,8000,36,car,mortgage,0.0454,243.49,0.0603,17,8765,Fully Paid,A,A1
72000,10+ years,5000,36,car,mortgage,0.0254,152.18,0.0603,37,5478,Fully Paid,A,A1
41784,10+ years,5000,36,car,mortgage,0.0437,152.18,0.0603,22,5478,Fully Paid,A,A1
96000,10+ years,6000,36,car,mortgage,0.0228,182.62,0.0603,27,6493,Fully Paid,A,A1
54000,10+ years,6000,36,car,mortgage,0.0406,182.62,0.0603,32,6569,Fully Paid,A,A1
114000,10+ years,7200,36,car,mortgage,0.0231,219.14,0.0603,52,7889,Fully Paid,A,A1
66000,4 years,3000,36,car,mortgage,0.0166,91.31,0.0603,23,3287,Fully Paid,A,A1
51000,5 years,4000,36,car,mortgage,0.0286,121.75,0.0603,15,4383,Fully Paid,A,A1
54960,9 years,5500,36,car,mortgage,0.0366,167.4,0.0603,15,6026,Fully Paid,A,A1
115000,10+ years,4000,36,car,mortgage,0.0127,121.75,0.0603,22,4383,Fully Paid,A,A1
60000,2 years,1500,36,car,mortgage,0.0091,45.66,0.0603,35,1529,Fully Paid,A,A1
84554.16,3 years,3600,36,car,mortgage,0.0156,109.57,0.0603,32,3768,Fully Paid,A,A1
19200,7 years,6000,36,car,own,0.1141,182.62,0.0603,15,6422,Fully Paid,A,A1
48000,8 years,2500,36,car,own,0.0190,76.09,0.0603,12,2717,Fully Paid,A,A1
240000,10+ years,12000,36,car,mortgage,0.0183,365.23,0.0603,29,13148,Fully Paid,A,A1
90000,10+ years,6000,36,car,mortgage,0.0243,182.62,0.0603,22,6574,Fully Paid,A,A1
100000,10+ years,7600,36,car,mortgage,0.0278,231.32,0.0603,38,7639,Fully Paid,A,A1
86400,10+ years,8000,36,car,mortgage,0.0338,243.49,0.0603,53,8753,Fully Paid,A,A1
67200,2 years,10000,36,car,mortgage,0.0544,304.36,0.0603,16,10957,Fully Paid,A,A1
72000,7 years,6500,36,car,mortgage,0.0330,197.84,0.0603,26,7116,Fully Paid,A,A1
70000,5 years,7000,36,car,mortgage,0.0365,213.05,0.0603,47,7205,Fully Paid,A,A1
42000,5 years,4900,36,car,mortgage,0.0426,149.14,0.0603,24,5369,Fully Paid,A,A1
21600,< 1 year,6000,36,car,own,0.1015,182.62,0.0603,12,6574,Fully Paid,A,A1
86400,2 years,15000,36,car,rent,0.0634,456.54,0.0603,11,16435,Fully Paid,A,A1
90000,< 1 year,12000,36,car,rent,0.0487,365.23,0.0603,15,13080,Fully Paid,A,A1
96000,10+ years,7000,36,car,mortgage,0.0266,213.05,0.0603,21,7670,Fully Paid,A,A1
53000,3 years,2800,36,car,mortgage,0.0193,85.22,0.0603,27,2814,Fully Paid,A,A1
80000,10+ years,8500,36,car,mortgage,0.0388,258.71,0.0603,47,9328,Fully Paid,A,A1
120000,3 years,4600,36,car,mortgage,0.0141,140.76,0.0639,42,5068,Fully Paid,A,A1
52000,2 years,4800,36,car,mortgage,0.0339,146.88,0.0639,28,5288,Fully Paid,A,A1
37315,1 year,2000,36,car,rent,0.0197,61.2,0.0639,22,2121,Fully Paid,A,A1
28150,< 1 year,1600,36,car,rent,0.0209,48.96,0.0639,16,1763,Fully Paid,A,A1
68000,9 years,3500,36,car,mortgage,0.0189,107.1,0.0639,21,3856,Fully Paid,A,A1
43800,10+ years,4800,36,car,own,0.0406,148.32,0.0705,7,3210,Charged Off,A,A1
12720,1 year,7500,36,car,rent,0.2186,231.75,0.0705,9,2073,Charged Off,A,A1
54000,2 years,8700,36,car,mortgage,0.0597,268.83,0.0705,15,9538,Fully Paid,A,A1
241875,4 years,16000,36,car,mortgage,0.0245,494.4,0.0705,24,17370,Fully Paid,A,A1
